Date	Value
2022-12-26	62.57
2022-12-30	62.01
2022-12-31	62.01
2023-01-01	61.86
2023-01-02	61.97
2023-01-03	61.97
2023-01-04	61.78
2023-01-05	61.94
2023-01-06	61.78
2023-01-07	61.66
2023-01-08	61.66
2023-01-09	61.54
2023-01-10	61.54
2023-01-11	61.22
2023-01-12	61.50
2023-01-13	61.34
2023-01-14	61.26
2023-01-15	61.19
2023-01-16	61.26
2023-01-17	61.10
2023-01-18	61.06
2023-01-19	60.90
2023-01-20	61.02
2023-01-21	60.90
2023-01-22	60.85
2023-01-23	60.90
2023-01-24	60.98
2023-01-25	60.81
2023-01-26	60.98
2023-01-27	60.73
2023-01-28	60.65
2023-01-29	60.77
2023-01-30	60.61
2023-01-31	60.73
2023-02-01	60.68
2023-02-02	60.64
2023-02-03	60.64
2023-02-04	60.18
2023-02-05	60.31
2023-02-06	60.05
2023-02-07	60.32
2023-02-08	60.13
2023-02-09	60.22
2023-02-10	60.22
2023-02-11	60.17
2023-02-12	60.14
2023-02-13	59.92
2023-02-14	59.87
2023-02-15	60.09
2023-02-16	59.70
2023-02-17	59.92
2023-02-18	59.79
2023-02-19	60.09
2023-02-20	60.26
2023-02-21	59.84
2023-02-22	59.74
2023-02-23	59.53
2023-02-24	59.64
2023-02-25	59.64
2023-02-26	59.29
2023-02-27	59.39
2023-02-28	59.56
2023-03-01	59.29
2023-03-02	59.29
2023-03-03	59.35
2023-03-04	59.43
2023-03-07	60.48
