2022-09-16	81.50
2022-09-17	81.50
2022-09-18	81.70
2022-09-19	82.20
2022-09-20	82.40
2022-09-21	82.30
2022-09-22	82.20
2022-09-23	82.60
2022-09-24	82.50
2022-09-25	82.60
2022-09-26	83.40
2022-09-27	83.80
2022-09-28	83.60
2022-09-29	83.10
2022-09-30	83.60
2022-10-01	83.80
2022-10-02	83.30
2022-10-03	84.00
2022-10-04	83.90
2022-10-05	84.30
2022-10-06	84.50
2022-10-07	84.80
2022-10-08	84.40
2022-10-09	84.00
2022-10-10	85.90
2022-10-11	84.90
2022-10-12	85.40
2022-10-13	85.20
2022-10-14	84.80
2022-10-15	85.00
2022-10-16	84.40
2022-10-18	85.40
2022-10-19	85.20
2022-10-20	85.40
2022-10-21	85.00
2022-10-22	84.90
2022-10-23	84.80
2022-10-24	85.00
2022-10-25	84.90
2022-10-26	84.60
2022-10-27	84.50
2022-10-28	84.00
2022-10-29	84.30
2022-10-30	84.20
2022-10-31	84.40
2022-11-01	85.30
2022-11-02	84.20
2022-11-03	84.20
2022-11-04	84.20
2022-11-05	83.60
2022-11-06	83.90
2022-11-07	84.60
2022-11-08	84.10
2022-11-09	84.20
2022-11-10	83.60
2022-11-11	83.75
2022-11-12	83.60
2022-11-13	83.75
2022-11-14	84.00
2022-11-15	84.00
2022-11-16	83.85
2022-11-17	83.95
2022-11-18	84.30
2022-11-19	83.85
2022-11-20	84.30
2022-11-21	84.10
2022-11-22	84.10
2022-11-23	83.80
2022-11-24	83.45
2022-11-25	83.65
2022-12-05	86.35
2022-12-06	83.35
2022-12-07	82.30
2022-12-08	82.50
2022-12-09	82.10
2022-12-10	81.95
2022-12-11	81.85
2022-12-12	82.25
2022-12-13	81.75
2022-12-14	81.15
2022-12-15	81.10
2022-12-16	81.15
2022-12-17	81.30
2022-12-18	81.30
2022-12-19	80.75
2022-12-20	81.10
2022-12-21	81.00
2022-12-22	80.75
2022-12-23	80.90
2022-12-24	80.65
2022-12-25	80.25
2022-12-26	80.10
2022-12-27	79.85
2022-12-28	79.70
2022-12-29	79.70
2022-12-30	79.40
2022-12-31	79.50
2023-01-01	79.20
